latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
22.68623,-105.082,314.84,0.33,0.55,2025-02-15,0915,N,nominal,2.0NRT,284.62,2.24,N
22.68558,-105.07898,304.6,0.33,0.55,2025-02-15,0915,N,nominal,2.0NRT,282.39,0.84,N
20.61186,-103.17783,300.57,0.48,0.64,2025-02-15,0915,N,nominal,2.0NRT,281.23,1.08,N
19.73005,-102.72744,300.87,0.53,0.67,2025-02-15,0915,N,nominal,2.0NRT,282.16,1.65,N
19.72367,-102.72776,309.06,0.53,0.67,2025-02-15,0915,N,nominal,2.0NRT,283.42,1.65,N
19.00669,-104.26015,309.2,0.44,0.62,2025-02-15,0917,N,nominal,2.0NRT,290.33,1.11,N
19.00579,-104.256,311.25,0.44,0.62,2025-02-15,0917,N,nominal,2.0NRT,291.36,1.11,N
17.93995,-102.21249,296.99,0.62,0.71,2025-02-15,0917,N,nominal,2.0NRT,276.73,1.92,N
17.93344,-102.21412,298.08,0.62,0.71,2025-02-15,0917,N,nominal,2.0NRT,276.37,1.12,N
17.93208,-102.2083,298.38,0.62,0.71,2025-02-15,0917,N,nominal,2.0NRT,276.96,1.12,N
17.9351,-102.21429,301.04,0.62,0.71,2025-02-15,0917,N,nominal,2.0NRT,276.31,1.63,N
37.94608,-122.39351,296.22,0.42,0.61,2025-02-15,1051,N,nominal,2.0NRT,277.62,1.02,N
